start_date,bike_nr,Occupancy-of-Bikes,Occupancy-Users
2011 August 01,788.0,0.02820733104238259,0.061833019460138104
2011 August 02,661.0,0.02366122565864834,0.05186754551161331
2011 August 03,910.0,0.03257445589919817,0.07140615191462649
2011 August 04,1168.0,0.0418098510882016,0.09165097300690521
2011 August 05,1614.0,0.05777491408934708,0.1266478342749529
2011 August 06,1621.0,0.05802548682703322,0.1271971123666039
2011 August 07,573.0,0.020511168384879725,0.0449623352165725
2011 August 08,945.0,0.033827319587628864,0.07415254237288135
2011 August 09,971.0,0.03475801832760596,0.07619271814187069
2011 August 10,1060.0,0.0379438717067583,0.08317639673571876
2011 August 11,1426.0,0.05104524627720504,0.11189579409918393
2011 August 12,1486.0,0.05319301260022909,0.11660389202762084
2011 August 13,1742.0,0.062356815578465064,0.136691776522285
2011 August 14,1078.0,0.03858820160366552,0.08458882611424984
2011 August 15,146.0,0.0052262313860252,0.011456371625863151
2011 August 16,1020.0,0.03651202749140894,0.0800376647834275
2011 August 17,1495.0,0.0535151775486827,0.11731010671688638
2011 August 18,1473.0,0.05272766323024055,0.11558380414312618
2011 August 19,1114.0,0.03987686139747995,0.08741368487131199
2011 August 20,1631.0,0.05838344788087056,0.12798179535467671
2011 August 21,1445.0,0.05172537227949599,0.11338669177652229
2011 August 22,1386.0,0.04961340206185567,0.10875706214689265
2011 August 23,1561.0,0.055877720504009167,0.12248901443816698
2011 August 24,1560.0,0.05584192439862543,0.1224105461393597
2011 August 25,1153.0,0.04127290950744559,0.09047394852479598
2011 August 26,1494.0,0.053479381443298966,0.1172316384180791
2011 August 27,664.0,0.02376861397479954,0.052102950408035156
2011 August 28,40.0,0.0014318442153493699,0.003138731952291274
2011 August 29,1463.0,0.05236970217640321,0.11479912115505336
2011 August 30,1497.0,0.05358676975945017,0.11746704331450095
2011 August 31,1435.0,0.051367411225658646,0.11260200878844946
2011 July 28,424.0,0.015177548682703322,0.03327055869428751
2011 July 29,536.0,0.01918671248568156,0.04205900816070308
2011 July 30,800.0,0.0286368843069874,0.06277463904582549
2011 July 31,1007.0,0.036046678121420386,0.07901757689893284
2011 November 01,1102.0,0.03944730813287514,0.08647206528562461
2011 November 02,1104.0,0.03951890034364261,0.08662900188323917
2011 November 03,1173.0,0.04198883161512027,0.09204331450094162
2011 November 04,1113.0,0.03984106529209622,0.0873352165725047
2011 November 05,807.0,0.02888745704467354,0.06332391713747645
2011 November 06,870.0,0.031142611683848798,0.06826741996233522
2011 November 07,1248.0,0.044673539518900345,0.09792843691148775
2011 November 08,1356.0,0.048539518900343644,0.1064030131826742
2011 November 09,1421.0,0.05086626575028637,0.11150345260514752
2011 November 10,649.0,0.02323167239404353,0.05092592592592592
2011 November 11,940.0,0.03364833906071019,0.07376020087884495
2011 November 12,906.0,0.03243127147766323,0.07109227871939737
2011 November 13,887.0,0.03175114547537228,0.06960138104205901
2011 November 14,1141.0,0.04084335624284078,0.0895323289391086
2011 November 15,1271.0,0.04549684994272623,0.09973320778405524
2011 November 16,655.0,0.023446449026345934,0.05139673571876962
2011 November 17,739.0,0.02645332187857961,0.057988072818581295
2011 November 18,896.0,0.032073310423825885,0.07030759573132454
2011 November 19,680.0,0.02434135166093929,0.053358443188951665
2011 November 20,998.0,0.03572451317296678,0.07831136220966729
2011 November 21,889.0,0.031822737686139746,0.06975831763967358
2011 November 22,811.0,0.029030641466208477,0.06363779033270558
2011 November 23,207.0,0.007409793814432989,0.016242937853107344
2011 November 24,236.0,0.008447880870561282,0.018518518518518517
2011 November 25,495.0,0.017719072164948453,0.03884180790960452
2011 November 26,580.0,0.020761741122565864,0.04551161330822348
2011 November 27,447.0,0.01600085910652921,0.03507532956685499
2011 November 28,611.0,0.021871420389461625,0.047944130571249216
2011 November 29,544.0,0.019473081328751432,0.04268675455116133
2011 November 30,362.0,0.0129581901489118,0.028405524168236034
2011 October 01,1053.0,0.03769329896907216,0.0826271186440678
2011 October 02,1026.0,0.03672680412371134,0.08050847457627118
2011 October 03,1253.0,0.044852520045819015,0.09832077840552417
2011 October 04,1010.0,0.036154066437571596,0.07925298179535467
2011 October 05,1314.0,0.047036082474226804,0.10310734463276836
2011 October 06,1279.0,0.0457832187857961,0.1003609541745135
2011 October 07,1619.0,0.05795389461626575,0.12704017576898932
2011 October 08,1873.0,0.06704610538373425,0.14697112366603893
2011 October 09,2126.0,0.07610252004581901,0.16682360326428122
2011 October 10,1812.0,0.06486254295532647,0.14218455743879474
2011 October 11,1625.0,0.05816867124856816,0.12751098556183302
2011 October 12,1394.0,0.04989977090492555,0.10938480853735091
2011 October 13,606.0,0.021692439862542955,0.0475517890772128
2011 October 14,780.0,0.027920962199312716,0.06120527306967985
2011 October 15,1418.0,0.050758877434135166,0.11126804770872567
2011 October 16,1381.0,0.049434421534937,0.10836472065285625
2011 October 17,1426.0,0.05104524627720504,0.11189579409918393
2011 October 18,1459.0,0.05222651775486827,0.11448524795982423
2011 October 19,440.0,0.01575028636884307,0.03452605147520402
2011 October 20,1258.0,0.045031500572737686,0.09871311989956058
2011 October 21,1627.0,0.058240263459335626,0.12766792215944758
2011 October 22,1498.0,0.0536225658648339,0.11754551161330823
2011 October 23,1205.0,0.04313430698739977,0.09455430006277464
2011 October 24,1287.0,0.04606958762886598,0.10098870056497175
2011 October 25,1293.0,0.04628436426116839,0.10145951035781545
2011 October 26,853.0,0.030534077892325314,0.06693345888261143
2011 October 27,212.0,0.007588774341351661,0.016635279347143754
2011 October 28,989.0,0.03540234822451317,0.07760514752040176
2011 October 29,311.0,0.011132588774341352,0.02440364092906466
2011 October 30,217.0,0.007767754868270332,0.017027620841180164
2011 October 31,967.0,0.03461483390607102,0.07587884494664156
2011 September 02,1416.0,0.0506872852233677,0.1111111111111111
2011 September 03,1478.0,0.05290664375715922,0.11597614563716259
2011 September 04,1605.0,0.05745274914089347,0.1259416195856874
2011 September 05,1627.0,0.058240263459335626,0.12766792215944758
2011 September 06,546.0,0.0195446735395189,0.0428436911487759
2011 September 07,374.0,0.013387743413516609,0.029347143753923416
2011 September 08,682.0,0.02441294387170676,0.05351537978656623
2011 September 09,1435.0,0.051367411225658646,0.11260200878844946
2011 September 10,1686.0,0.060352233676975946,0.1322975517890772
2011 September 11,1799.0,0.06439719358533791,0.14116446955430006
2011 September 12,1442.0,0.051617983963344785,0.11315128688010044
2011 September 13,1513.0,0.05415950744558992,0.11872253609541746
2011 September 14,1435.0,0.051367411225658646,0.11260200878844946
2011 September 15,1347.0,0.04821735395189004,0.10569679849340867
2011 September 16,1627.0,0.058240263459335626,0.12766792215944758
2011 September 17,1464.0,0.05240549828178694,0.11487758945386065
2011 September 18,1325.0,0.04742983963344788,0.10397049591964846
2011 September 19,1471.0,0.05265607101947308,0.11542686754551161
2011 September 20,1137.0,0.04070017182130584,0.08921845574387947
2011 September 21,1613.0,0.05773911798396335,0.12656936597614563
2011 September 22,1158.0,0.04145189003436426,0.0908662900188324
2011 September 23,965.0,0.03454324169530355,0.07572190834902699
2011 September 24,1271.0,0.04549684994272623,0.09973320778405524
2011 September 25,1390.0,0.049756586483390604,0.10907093534212178
2011 September 26,1584.0,0.05670103092783505,0.12429378531073447
2011 September 27,1686.0,0.060352233676975946,0.1322975517890772
2011 September 28,1631.0,0.05838344788087056,0.12798179535467671
2011 September 29,948.0,0.033934707903780066,0.0743879472693032
2011 September 30,1730.0,0.061927262313860254,0.13575015693659762
2012 April 01,778.0,0.027849369988545248,0.061048336472065284
2012 April 02,1002.0,0.035867697594501716,0.07862523540489642
2012 April 03,1350.0,0.04832474226804124,0.1059322033898305
2012 April 04,1428.0,0.05111683848797251,0.1120527306967985
2012 April 05,1356.0,0.048539518900343644,0.1064030131826742
2012 April 06,1427.0,0.05108104238258877,0.11197426239799121
2012 April 07,1009.0,0.036118270332187855,0.07917451349654739
2012 April 08,838.0,0.029997136311569302,0.0657564344005022
2012 April 09,1233.0,0.04413659793814433,0.09675141242937853
2012 April 10,1524.0,0.054553264604811,0.11958568738229755
2012 April 11,1460.0,0.052262313860252006,0.11456371625863151
2012 April 12,926.0,0.033147193585337915,0.072661644695543
2012 April 13,1710.0,0.061211340206185565,0.134180790960452
2012 April 14,2298.0,0.0822594501718213,0.1803201506591337
2012 April 15,2243.0,0.08029066437571593,0.1760043942247332
2012 April 16,2030.0,0.07266609392898053,0.15929064657878217
2012 April 17,1978.0,0.07080469644902634,0.15521029504080353
2012 April 18,1637.0,0.05859822451317297,0.1284526051475204
2012 April 19,1974.0,0.07066151202749141,0.1548964218455744
2012 April 20,2028.0,0.07259450171821306,0.1591337099811676
2012 April 21,2169.0,0.07764175257731959,0.17019774011299435
2012 April 22,512.0,0.018327605956471937,0.040175768989328314
2012 April 23,707.0,0.025307846506300115,0.05547708725674828
2012 April 24,1549.0,0.05544816723940435,0.1215473948524796
2012 April 25,1627.0,0.058240263459335626,0.12766792215944758
2012 April 26,1642.0,0.05877720504009164,0.12884494664155682
2012 April 27,1454.0,0.0520475372279496,0.11409290646578782
2012 April 28,1374.0,0.04918384879725086,0.10781544256120527
2012 April 29,1524.0,0.054553264604811,0.11958568738229755
2012 April 30,1703.0,0.060960767468499426,0.133631512868801
2012 August 01,2023.0,0.0724155211912944,0.1587413684871312
2012 August 02,2712.0,0.09707903780068729,0.2128060263653484
2012 August 03,2425.0,0.08680555555555555,0.1902856246076585
2012 August 04,2424.0,0.08676975945017182,0.1902071563088512
2012 August 05,2078.0,0.07438430698739977,0.1630571249215317
2012 August 06,2747.0,0.09833190148911798,0.21555241682360327
2012 August 07,2982.0,0.10674398625429553,0.2339924670433145
2012 August 08,2998.0,0.10731672394043527,0.23524795982423102
2012 August 09,2802.0,0.10030068728522337,0.21986817325800376
2012 August 10,2028.0,0.07259450171821306,0.1591337099811676
2012 August 11,2474.0,0.08855956471935854,0.19413057124921532
2012 August 12,2500.0,0.08949026345933563,0.19617074701820464
2012 August 13,2919.0,0.10448883161512028,0.22904896421845575
2012 August 14,3172.0,0.11354524627720504,0.24890144381669804
2012 August 15,2413.0,0.08637600229095074,0.18934400502197113
2012 August 16,3065.0,0.10971506300114547,0.2405053358443189
2012 August 17,2989.0,0.10699455899198167,0.23454174513496548
2012 August 18,1894.0,0.06779782359679266,0.14861895794099184
2012 August 19,2728.0,0.09765177548682703,0.21406151914626492
2012 August 20,2922.0,0.10459621993127148,0.2292843691148776
2012 August 21,3218.0,0.11519186712485681,0.25251098556183305
2012 August 22,3250.0,0.11633734249713631,0.25502197112366604
2012 August 23,3057.0,0.1094286941580756,0.23987758945386065
2012 August 24,3091.0,0.11064576174112256,0.24254551161330823
2012 August 25,3503.0,0.12539375715922108,0.27487445072190836
2012 August 26,2799.0,0.10019329896907217,0.2196327683615819
2012 August 27,2803.0,0.1003364833906071,0.21994664155681104
2012 August 28,2303.0,0.08243843069873998,0.18071249215317012
2012 August 29,3107.0,0.11121849942726231,0.24380100439422472
2012 August 30,3036.0,0.10867697594501718,0.2382297551789077
2012 August 31,2921.0,0.10456042382588775,0.2292059008160703
2012 July 01,2053.0,0.07348940435280642,0.16109541745134964
2012 July 02,2418.0,0.08655498281786941,0.18973634651600754
2012 July 03,2616.0,0.0936426116838488,0.20527306967984935
2012 July 04,2627.0,0.09403636884306987,0.20613622096672943
2012 July 05,2314.0,0.08283218785796105,0.18157564344005023
2012 July 06,2440.0,0.08734249713631156,0.19146264908976773
2012 July 07,1920.0,0.06872852233676977,0.15065913370998116
2012 July 08,1958.0,0.07008877434135166,0.15364092906465787
2012 July 09,2679.0,0.09589776632302406,0.2102165725047081
2012 July 10,2608.0,0.09335624284077892,0.20464532328939108
2012 July 11,2579.0,0.09231815578465064,0.20236974262397991
2012 July 12,2563.0,0.09174541809851088,0.2011142498430634
2012 July 13,2453.0,0.08780784650630011,0.1924827369742624
2012 July 14,2074.0,0.07424112256586483,0.16274325172630258
2012 July 15,1705.0,0.061032359679266894,0.13378844946641558
2012 July 16,2305.0,0.08251002290950744,0.18086942875078468
2012 July 17,2208.0,0.07903780068728522,0.17325800376647835
