,fromMunToMun,Trips,Traffic,Accumulated-Traffic,in_ext,mean_minutes
0,Boston:Boston,1089760,0.6901474010861133,0.6901474010861133,Internal,18.228873329907504
1,Cambridge:Cambridge,162901,0.10316556102658286,0.7933129621126962,Internal,12.50272251244621
2,Boston:Cambridge,111176,0.07040800493975713,0.8637209670524533,External,18.07188601856516
3,Cambridge:Boston,110255,0.06982473361726382,0.9335457006697171,External,18.137581062083353
4,Cambridge:Somerville,21037,0.013322778296733744,0.9468684789664509,External,13.624803916908304
5,Somerville:Cambridge,20786,0.013163819445543927,0.9600322984119948,External,13.134946598672183
6,Boston:Brookline,14894,0.00943240290685708,0.9694647013188519,External,19.397005505572714
7,Brookline:Boston,14590,0.00923987903928057,0.9787045803581325,External,16.599588759424265
8,Somerville:Somerville,12827,0.008123367267776,0.9868279476259084,Internal,14.387308022140797
9,Boston:Somerville,6092,0.0038580769778819206,0.9906860246037903,External,26.600459619172685
10,Somerville:Boston,5917,0.003747249093586232,0.9944332736973766,External,25.818827108331924
11,Brookline:Brookline,3164,0.0020037681480660533,0.9964370418454426,Internal,20.487989886219975
12,Brookline:Cambridge,2741,0.0017358813191684743,0.998172923164611,External,22.070047427946005
13,Cambridge:Brookline,2581,0.001634552967812416,0.9998074761324235,External,24.320030995738087
14,Somerville:Brookline,144,9.119551622045249e-05,0.999898671648644,External,31.95138888888889
15,Brookline:Somerville,108,6.839663716533937e-05,0.9999670682858093,External,39.68518518518519
16,Boston:UNKNOWN,34,2.1532274663162395e-05,0.9999886005604725,External,256.9705882352941
17,UNKNOWN:UNKNOWN,7,4.433115371827552e-06,0.9999930336758442,Internal,46.71428571428571
18,UNKNOWN:Boston,5,3.166510979876823e-06,0.9999962001868241,External,18.0
19,Cambridge:UNKNOWN,4,2.533208783901458e-06,0.999998733395608,External,163.75
20,UNKNOWN:Cambridge,2,1.266604391950729e-06,0.9999999999999999,External,17.5
